Nom du Médicament,Prix (CDF),Date d’Expiration,Forme,Stock Disponible
Prednisolone 1000mg,2049,11/2025,Comprimé,416
Paracétamol 750mg,7167,03/2028,Sachet,106
Efferalgan 250mg,1468,12/2026,Aérosol,420
Flagyl 250mg,2249,12/2025,Sachet,411
Aspirine 100mg,1750,07/2027,Capsule,132
Flagyl 750mg,2629,02/2026,Sachet,114
Coartem 1000mg,1810,11/2025,Sachet,58
Augmentin 750mg,3403,08/2026,Sachet,363
Azithromycine 1000mg,2334,12/2025,Gélule,193
Efferalgan 1000mg,5743,11/2027,Capsule,327
Chloroquine 100mg,6068,08/2027,Gélule,40
Azithromycine 250mg,5051,06/2028,Injection,320
Ibuprofène 250mg,7455,02/2027,Comprimé,450
Efferalgan 500mg,7664,07/2026,Comprimé,329
Azithromycine 750mg,7349,02/2026,Comprimé,83
Coartem 250mg,4610,04/2026,Comprimé,57
Oméprazole 500mg,4467,02/2028,Comprimé,467
Metformine 500mg,1565,07/2026,Aérosol,258
Smecta 500mg,9713,01/2026,Sirop,86
Coartem 1000mg,2763,03/2028,Comprimé,426
Chloroquine 250mg,3919,11/2025,Gélule,312
Zithromax 500mg,7988,01/2028,Sachet,32
Prednisolone 500mg,5841,06/2026,Sirop,184
Ventoline 750mg,4797,10/2026,Injection,220
Vitamine C 500mg,9673,12/2025,Gélule,204
Augmentin 750mg,1599,11/2027,Comprimé,437
Chloroquine 750mg,8809,12/2025,Sachet,76
Hydroxychloroquine 1000mg,6302,06/2026,Aérosol,221
Vitamine C 100mg,2135,05/2026,Sachet,134
Metformine 250mg,8063,02/2027,Gélule,96
Azithromycine 500mg,4508,05/2027,Comprimé,93
Diclofénac 500mg,6623,12/2026,Comprimé,177
Doliprane 500mg,2025,09/2027,Aérosol,402
Vitamine C 1000mg,3608,11/2027,Sachet,80
Aspirine 500mg,3564,04/2027,Aérosol,183
Paracétamol 750mg,5875,06/2026,Comprimé,462
Zithromax 750mg,8515,06/2028,Gélule,76
Efferalgan 500mg,1304,05/2027,Injection,155
Loperamide 750mg,1725,03/2027,Comprimé,336
Azithromycine 500mg,9141,07/2026,Sirop,290
Salbutamol 100mg,7795,07/2027,Aérosol,251
Salbutamol 500mg,6518,02/2026,Sachet,461
Flagyl 750mg,4371,04/2028,Injection,41
Doxycycline 500mg,6327,02/2027,Comprimé,186
Chloroquine 750mg,2223,11/2027,Gélule,451
Diclofénac 1000mg,7982,02/2028,Gélule,254
Vitamine C 750mg,2897,01/2027,Injection,124
Loperamide 100mg,6438,10/2025,Sachet,277
Diclofénac 500mg,6208,12/2026,Comprimé,474
Ventoline 750mg,2198,11/2027,Gélule,103
Zithromax 250mg,5501,04/2027,Capsule,195
Diclofénac 250mg,8682,08/2027,Comprimé,294
Zithromax 750mg,2376,06/2026,Capsule,200
Chloroquine 250mg,9564,08/2027,Capsule,77
Chloroquine 100mg,3388,08/2027,Injection,112
Azithromycine 250mg,4255,12/2026,Capsule,59
Paracétamol 1000mg,9303,08/2026,Aérosol,156
Efferalgan 1000mg,7552,03/2026,Sachet,249
Metformine 1000mg,5756,01/2027,Comprimé,461
Vitamine C 100mg,8620,10/2026,Comprimé,132
Augmentin 100mg,2192,10/2027,Injection,181
Doliprane 500mg,2968,02/2028,Capsule,214
Coartem 100mg,6008,11/2026,Aérosol,76
Smecta 1000mg,3517,03/2028,Sachet,101
Ventoline 250mg,6565,01/2028,Sirop,459
Azithromycine 1000mg,1906,09/2027,Sirop,145
Salbutamol 1000mg,7871,07/2026,Aérosol,249
Flagyl 750mg,8377,11/2026,Injection,231
Aspirine 100mg,9380,04/2026,Gélule,398
Ventoline 100mg,4040,06/2027,Aérosol,136
Flagyl 750mg,6639,10/2025,Sachet,129
Doxycycline 750mg,9537,05/2028,Sirop,90
Zithromax 500mg,6065,12/2027,Injection,190
Vitamine C 750mg,7893,08/2027,Comprimé,37
Doliprane 250mg,5161,06/2027,Comprimé,104
Ceftriaxone 100mg,9950,06/2027,Gélule,414
Efferalgan 250mg,5466,03/2027,Capsule,374
Metformine 100mg,1765,01/2028,Injection,219
Diclofénac 750mg,6421,04/2026,Gélule,388
Ibuprofène 750mg,7814,12/2025,Capsule,83
Hydroxychloroquine 750mg,1409,09/2027,Gélule,322
Prednisolone 1000mg,2140,10/2026,Comprimé,352
Smecta 100mg,3678,07/2026,Sirop,305
Coartem 1000mg,1973,10/2025,Comprimé,157
Oméprazole 100mg,3115,10/2027,Injection,248
Diclofénac 250mg,1860,07/2026,Sirop,109
Prednisolone 500mg,8934,03/2026,Gélule,499
Flagyl 1000mg,4032,11/2026,Sirop,113
Zithromax 750mg,2430,06/2028,Comprimé,375
Augmentin 100mg,9994,03/2028,Injection,37
Metformine 750mg,4921,03/2027,Sachet,269
Metformine 1000mg,7307,08/2027,Sachet,152
Efferalgan 100mg,6220,05/2028,Gélule,352
Loperamide 500mg,7497,10/2025,Injection,431
Ibuprofène 1000mg,9002,08/2027,Gélule,376
Prednisolone 750mg,3230,03/2028,Gélule,391
Coartem 100mg,6280,03/2027,Capsule,446
Metformine 250mg,1702,09/2026,Sachet,411
Oméprazole 100mg,8076,08/2026,Capsule,199
Vitamine C 100mg,8670,09/2027,Comprimé,342
Doliprane 500mg,1748,06/2026,Sachet,460
Paracétamol 750mg,2973,12/2027,Sirop,424
Salbutamol 500mg,7288,03/2026,Sachet,485
Amoxicilline 1000mg,1699,09/2026,Comprimé,105
Diclofénac 750mg,4339,11/2025,Comprimé,188
Zithromax 500mg,3534,01/2028,Gélule,118
Zithromax 500mg,4858,04/2028,Capsule,324
Paracétamol 500mg,1069,06/2028,Aérosol,285
Amoxicilline 1000mg,6030,04/2028,Sirop,352
Paracétamol 750mg,1964,05/2028,Sachet,375
Metformine 500mg,5207,07/2027,Gélule,397
Efferalgan 750mg,2087,04/2026,Capsule,212
Doliprane 100mg,3866,10/2026,Aérosol,469
Hydroxychloroquine 250mg,6485,01/2028,Capsule,364
Zithromax 100mg,1347,07/2026,Aérosol,314
Coartem 500mg,2276,08/2026,Sachet,152
Amoxicilline 100mg,5148,02/2026,Sachet,468
Smecta 750mg,5248,03/2028,Aérosol,285
Ibuprofène 250mg,6435,07/2026,Sirop,177
Salbutamol 1000mg,8427,05/2026,Capsule,498
Aspirine 500mg,4126,11/2027,Gélule,163
Doxycycline 750mg,7301,02/2027,Comprimé,437
Coartem 250mg,5260,04/2027,Aérosol,215
Hydroxychloroquine 100mg,3293,12/2025,Aérosol,272
Paracétamol 500mg,2087,01/2026,Comprimé,494
Coartem 1000mg,6379,03/2026,Sachet,21
Augmentin 250mg,9329,08/2027,Aérosol,297
Coartem 1000mg,3964,02/2028,Sirop,358
Smecta 750mg,4952,03/2027,Gélule,468
Salbutamol 250mg,5656,06/2027,Gélule,486
Ibuprofène 100mg,5265,10/2025,Comprimé,86
Salbutamol 100mg,8760,08/2026,Injection,470
Prednisolone 1000mg,8031,05/2027,Sachet,324
Azithromycine 750mg,6193,06/2028,Comprimé,390
Prednisolone 750mg,9938,09/2027,Comprimé,322
Flagyl 500mg,5223,06/2027,Capsule,405
Metformine 750mg,4801,12/2025,Comprimé,171
Ceftriaxone 1000mg,4906,04/2028,Comprimé,215
Oméprazole 500mg,1442,10/2027,Gélule,418
Oméprazole 1000mg,5941,08/2027,Injection,432
Metformine 1000mg,4096,01/2028,Sachet,358
Doliprane 500mg,7789,01/2026,Gélule,42
Ceftriaxone 100mg,1491,06/2028,Aérosol,497
Vitamine C 750mg,4527,12/2027,Sirop,264
Smecta 750mg,7145,05/2028,Gélule,394
Prednisolone 1000mg,1144,07/2027,Injection,423
Ibuprofène 750mg,5265,11/2026,Capsule,179
Zithromax 250mg,4779,05/2026,Capsule,60
Doxycycline 500mg,6170,02/2028,Sirop,131
Hydroxychloroquine 500mg,1221,02/2028,Comprimé,101
Augmentin 100mg,4166,07/2028,Injection,479
Chloroquine 500mg,8564,08/2027,Comprimé,443
Ceftriaxone 250mg,9909,11/2026,Sirop,56
Ibuprofène 750mg,1060,07/2026,Aérosol,174
Hydroxychloroquine 250mg,3906,07/2027,Injection,285
Ceftriaxone 750mg,1228,01/2026,Comprimé,194
Prednisolone 250mg,8134,03/2026,Gélule,454
Oméprazole 750mg,3514,12/2026,Gélule,334
Zithromax 500mg,8063,03/2027,Gélule,47
Metformine 100mg,2343,10/2027,Capsule,449
Oméprazole 500mg,3860,06/2028,Aérosol,434
Ceftriaxone 500mg,8255,01/2027,Sachet,32
Metformine 100mg,4139,01/2027,Injection,385
Ventoline 500mg,2778,08/2027,Comprimé,165
Ibuprofène 250mg,6331,12/2027,Capsule,112
Efferalgan 500mg,9460,10/2026,Capsule,110
Smecta 750mg,9379,03/2027,Injection,239
Doxycycline 500mg,8692,10/2026,Capsule,309
Zithromax 250mg,1411,01/2027,Gélule,200
Augmentin 500mg,4928,11/2026,Gélule,292
Diclofénac 100mg,7155,10/2027,Capsule,183
Amoxicilline 750mg,3346,06/2027,Aérosol,249
Hydroxychloroquine 100mg,1681,02/2027,Comprimé,86
Amoxicilline 750mg,8352,06/2028,Gélule,150
Ventoline 1000mg,6838,07/2027,Gélule,417
Flagyl 500mg,5964,02/2026,Capsule,266
Oméprazole 500mg,7297,01/2028,Injection,87
Efferalgan 500mg,1675,02/2026,Gélule,127
Ventoline 750mg,6184,10/2027,Aérosol,403
Loperamide 100mg,4412,12/2025,Injection,146
Augmentin 100mg,7907,01/2027,Aérosol,376
Flagyl 750mg,6525,03/2028,Comprimé,113
Coartem 750mg,7731,11/2025,Gélule,198
Chloroquine 100mg,9485,01/2027,Injection,355
Smecta 1000mg,1759,03/2026,Sachet,222
Azithromycine 250mg,7192,09/2027,Injection,104
Doliprane 250mg,6812,04/2026,Capsule,174
Ventoline 500mg,6806,04/2027,Sachet,84
Azithromycine 100mg,8454,10/2027,Gélule,162
Diclofénac 750mg,1245,12/2025,Aérosol,57
Prednisolone 750mg,4873,06/2028,Injection,410
Prednisolone 500mg,9233,12/2027,Capsule,275
Loperamide 750mg,1350,01/2027,Injection,268
Hydroxychloroquine 1000mg,3565,03/2026,Comprimé,278
Flagyl 250mg,6258,02/2028,Comprimé,121
Loperamide 250mg,9672,10/2027,Gélule,375
Ceftriaxone 750mg,3480,11/2026,Sirop,346
Loperamide 750mg,3361,07/2027,Gélule,391
Oméprazole 100mg,6609,02/2026,Capsule,381
Ibuprofène 500mg,5988,04/2028,Injection,414
Prednisolone 1000mg,3729,07/2026,Sirop,487
Diclofénac 100mg,1446,09/2027,Sirop,284
Loperamide 100mg,3499,12/2026,Aérosol,484
Vitamine C 500mg,5970,10/2026,Capsule,146
Smecta 250mg,1255,04/2027,Injection,417
Loperamide 500mg,8923,11/2027,Sirop,268
Doxycycline 100mg,2202,05/2027,Gélule,94
Doxycycline 500mg,4359,07/2027,Sachet,153
Aspirine 750mg,1772,08/2026,Capsule,488
Metformine 250mg,1180,12/2025,Sirop,440
Paracétamol 1000mg,8574,03/2027,Capsule,101
Doxycycline 500mg,1998,11/2025,Sirop,210
Vitamine C 1000mg,1061,01/2027,Sirop,395
Amoxicilline 100mg,6627,03/2027,Sirop,211
Aspirine 250mg,9734,03/2027,Aérosol,107
Ventoline 500mg,7056,03/2027,Capsule,216
Aspirine 750mg,4858,12/2026,Capsule,135
Zithromax 100mg,2190,07/2027,Gélule,454
Coartem 100mg,7373,09/2027,Capsule,79
Ibuprofène 750mg,2729,02/2027,Sachet,366
Metformine 250mg,6160,06/2026,Injection,382
Diclofénac 1000mg,4873,11/2025,Capsule,365
Prednisolone 250mg,2889,11/2027,Gélule,435
Oméprazole 750mg,7864,11/2027,Injection,437
Prednisolone 100mg,8337,01/2027,Capsule,229
Ibuprofène 1000mg,4188,02/2027,Injection,98
Ceftriaxone 750mg,3495,04/2027,Sirop,37
Diclofénac 750mg,5310,05/2026,Sachet,314
Ceftriaxone 750mg,8550,08/2026,Comprimé,127
Smecta 100mg,3463,09/2027,Sachet,485
Ventoline 250mg,2111,03/2026,Sachet,36
Zithromax 250mg,3832,02/2026,Aérosol,262
Flagyl 750mg,4369,05/2028,Injection,343
Doxycycline 500mg,6408,04/2026,Gélule,88
Doliprane 750mg,7196,05/2027,Comprimé,123
Ceftriaxone 100mg,3479,11/2026,Injection,225
Oméprazole 750mg,7709,03/2027,Comprimé,423
Smecta 1000mg,1018,07/2026,Comprimé,59
Flagyl 1000mg,9495,11/2025,Sachet,80
Augmentin 100mg,7820,05/2028,Capsule,254
Doliprane 1000mg,1241,02/2027,Aérosol,262
Coartem 750mg,1218,12/2026,Aérosol,267
Oméprazole 1000mg,1487,12/2025,Sachet,378
Efferalgan 750mg,5624,05/2027,Sachet,62
Ventoline 250mg,7872,11/2026,Capsule,215
Paracétamol 250mg,1344,03/2027,Aérosol,302
Ventoline 500mg,2426,08/2027,Gélule,333
Amoxicilline 750mg,6899,05/2027,Aérosol,386
Hydroxychloroquine 750mg,7084,08/2026,Aérosol,343
Chloroquine 500mg,1568,01/2027,Comprimé,453
Doxycycline 750mg,9677,05/2028,Gélule,353
Oméprazole 1000mg,8860,12/2027,Sirop,41
Salbutamol 1000mg,5120,03/2028,Gélule,178
Aspirine 500mg,9951,07/2027,Gélule,55
Ceftriaxone 500mg,4057,06/2027,Comprimé,418
Aspirine 500mg,4302,11/2025,Injection,426
Doliprane 500mg,1790,04/2028,Sachet,156
Ventoline 250mg,5687,08/2026,Capsule,443
Ceftriaxone 100mg,9043,01/2026,Comprimé,367
Doxycycline 1000mg,6147,10/2026,Injection,350
Diclofénac 250mg,1200,01/2028,Comprimé,432
Doliprane 500mg,9129,02/2027,Comprimé,422
Smecta 750mg,8367,05/2028,Comprimé,433
Ibuprofène 500mg,2368,04/2027,Aérosol,195
Doxycycline 1000mg,3916,09/2027,Gélule,137
Paracétamol 100mg,5706,06/2028,Comprimé,422
Aspirine 100mg,1763,04/2026,Aérosol,138
Ibuprofène 250mg,8815,10/2025,Comprimé,421
Vitamine C 500mg,9583,06/2027,Sirop,424
Doliprane 750mg,3538,03/2026,Comprimé,414
Aspirine 1000mg,4411,10/2026,Gélule,331
Efferalgan 250mg,8608,07/2026,Aérosol,333
Ventoline 500mg,8954,09/2026,Capsule,252
Metformine 750mg,3160,07/2026,Comprimé,488
Coartem 750mg,1427,01/2026,Comprimé,340
Loperamide 500mg,2302,03/2027,Injection,147
Zithromax 500mg,6451,02/2026,Aérosol,213
Smecta 250mg,5163,03/2027,Sirop,100
Diclofénac 500mg,6092,10/2027,Injection,391
Loperamide 1000mg,5891,12/2026,Injection,140
Zithromax 100mg,9925,08/2026,Injection,250
Loperamide 750mg,5499,06/2026,Sachet,494
Oméprazole 500mg,7109,09/2027,Injection,141
Coartem 100mg,2815,03/2026,Injection,298
Prednisolone 100mg,9858,11/2027,Injection,57
Doxycycline 100mg,2061,10/2026,Sachet,430
Doxycycline 100mg,3884,06/2028,Gélule,196
Ceftriaxone 500mg,3295,04/2028,Gélule,58
Aspirine 250mg,6120,07/2027,Capsule,209
Doxycycline 250mg,4924,01/2027,Sirop,373
Loperamide 250mg,9044,03/2026,Capsule,143
Loperamide 100mg,6459,09/2027,Capsule,386
Prednisolone 500mg,2391,06/2026,Injection,341
Flagyl 250mg,7127,09/2026,Gélule,59
Paracétamol 100mg,3374,01/2026,Sachet,190
Zithromax 500mg,3640,03/2028,Comprimé,237
Zithromax 500mg,3209,12/2027,Injection,50
Paracétamol 250mg,5260,03/2027,Sirop,219
Ventoline 100mg,2464,02/2026,Injection,150
Hydroxychloroquine 1000mg,4849,03/2027,Gélule,398
Metformine 750mg,6115,11/2026,Capsule,276
Paracétamol 750mg,5159,11/2026,Gélule,441
Oméprazole 500mg,4233,01/2028,Gélule,109
Loperamide 750mg,5805,09/2027,Sachet,418
Coartem 1000mg,4038,06/2026,Comprimé,343
Salbutamol 1000mg,8897,01/2027,Aérosol,385
Ventoline 500mg,4710,06/2028,Sachet,47
Doliprane 250mg,1550,02/2026,Comprimé,374
Loperamide 500mg,4831,04/2026,Sirop,136
Zithromax 1000mg,7875,06/2026,Gélule,380
Vitamine C 750mg,1352,05/2027,Aérosol,60
Hydroxychloroquine 750mg,4402,02/2028,Injection,363
Aspirine 750mg,6794,07/2026,Aérosol,380
Coartem 1000mg,6342,11/2026,Sirop,396
Metformine 750mg,5676,05/2028,Sirop,287
Paracétamol 250mg,1313,01/2026,Gélule,57
Vitamine C 100mg,9049,11/2027,Comprimé,312
Salbutamol 1000mg,8661,10/2027,Sachet,256
Prednisolone 250mg,8570,05/2026,Gélule,193
Chloroquine 750mg,5678,07/2027,Aérosol,327
Salbutamol 250mg,8251,02/2026,Gélule,297
Zithromax 100mg,5023,03/2027,Gélule,416
Ventoline 250mg,3862,06/2026,Sachet,71
Salbutamol 750mg,4947,07/2028,Gélule,481
Diclofénac 750mg,2935,05/2027,Aérosol,62
Ibuprofène 750mg,5963,04/2028,Capsule,184
Loperamide 1000mg,8805,03/2026,Aérosol,255
Prednisolone 1000mg,6395,05/2027,Gélule,308
Aspirine 250mg,3061,05/2028,Sirop,228
Ventoline 250mg,4161,03/2027,Aérosol,296
Hydroxychloroquine 500mg,3627,03/2027,Gélule,351
Vitamine C 250mg,6911,04/2027,Injection,440
Azithromycine 100mg,3850,06/2027,Gélule,239
Metformine 750mg,7804,11/2025,Gélule,24
Ceftriaxone 250mg,3953,07/2028,Comprimé,199
Aspirine 750mg,7453,06/2028,Injection,187
Coartem 1000mg,9073,10/2027,Sirop,480
Doxycycline 750mg,8483,09/2027,Gélule,25
Coartem 100mg,7702,01/2026,Sirop,484
Chloroquine 100mg,1978,04/2027,Comprimé,292
Vitamine C 1000mg,5399,05/2027,Sachet,324
Ibuprofène 250mg,6033,01/2027,Sachet,56
Doliprane 500mg,1037,08/2026,Injection,209
Hydroxychloroquine 1000mg,3967,12/2025,Gélule,419
Augmentin 250mg,3163,07/2026,Gélule,353
Zithromax 100mg,8337,12/2025,Gélule,111
Metformine 750mg,4031,12/2025,Injection,491
Prednisolone 250mg,5823,06/2026,Sachet,277
Ibuprofène 1000mg,5506,03/2026,Comprimé,355
Diclofénac 250mg,6882,05/2028,Aérosol,167
Efferalgan 100mg,7142,12/2026,Injection,56
Augmentin 1000mg,1843,11/2025,Injection,339
Ibuprofène 1000mg,8199,03/2028,Sirop,464
Metformine 250mg,7465,03/2026,Sachet,262
Doliprane 750mg,3942,04/2027,Capsule,374
Loperamide 100mg,4418,03/2026,Capsule,204
Augmentin 250mg,6138,11/2027,Gélule,121
Hydroxychloroquine 1000mg,7117,01/2027,Capsule,139
Metformine 750mg,4001,12/2027,Aérosol,267
Doxycycline 500mg,1025,11/2025,Sirop,192
Doliprane 750mg,8794,07/2027,Sirop,113
Vitamine C 250mg,2373,03/2028,Capsule,29
Amoxicilline 750mg,4844,09/2027,Gélule,34
Diclofénac 100mg,8357,02/2026,Capsule,296
Ventoline 1000mg,6379,04/2028,Capsule,332
Ceftriaxone 1000mg,7993,05/2027,Gélule,355
Vitamine C 1000mg,5223,06/2026,Injection,88
Zithromax 500mg,1123,05/2028,Comprimé,139
Flagyl 750mg,8082,09/2026,Gélule,274
Azithromycine 500mg,3378,11/2025,Gélule,125
Doxycycline 500mg,6597,01/2028,Gélule,84
Augmentin 100mg,7070,03/2027,Sirop,39
Smecta 250mg,4907,12/2026,Comprimé,254
Metformine 750mg,7292,06/2027,Comprimé,186
Metformine 250mg,7439,10/2025,Capsule,398
Hydroxychloroquine 500mg,1287,12/2027,Aérosol,272
Metformine 100mg,5581,03/2027,Sirop,254
Paracétamol 500mg,8714,02/2028,Gélule,497
Chloroquine 250mg,3779,05/2028,Sachet,459
Ventoline 500mg,9642,02/2028,Comprimé,478
Doxycycline 500mg,5479,04/2027,Comprimé,330
Doliprane 250mg,8370,07/2027,Injection,334
Azithromycine 1000mg,3180,04/2026,Sachet,333
Vitamine C 500mg,1074,05/2027,Comprimé,342
Zithromax 250mg,7665,01/2027,Sachet,458
Azithromycine 250mg,8309,07/2028,Aérosol,388
Doxycycline 250mg,5843,10/2026,Sirop,171
Chloroquine 750mg,2397,03/2028,Comprimé,354
Doxycycline 1000mg,4315,11/2027,Capsule,333
Amoxicilline 750mg,5193,06/2026,Injection,467
Chloroquine 500mg,9701,08/2026,Aérosol,133
Vitamine C 1000mg,4093,02/2028,Gélule,404
Hydroxychloroquine 750mg,9481,01/2028,Sachet,324
Loperamide 750mg,1240,12/2026,Sirop,294
Salbutamol 100mg,8171,08/2027,Sirop,466
Amoxicilline 250mg,4533,11/2026,Gélule,321
Prednisolone 250mg,1806,07/2026,Comprimé,157
Smecta 100mg,4922,07/2026,Capsule,45
Coartem 500mg,5618,08/2026,Capsule,150
Hydroxychloroquine 250mg,2389,06/2027,Capsule,381
Doliprane 500mg,6577,09/2026,Injection,261
Efferalgan 1000mg,2070,01/2027,Comprimé,186
Paracétamol 500mg,8574,06/2026,Gélule,338
Zithromax 500mg,9843,01/2027,Sirop,155
Ibuprofène 250mg,8870,04/2027,Injection,89
Efferalgan 250mg,7391,03/2028,Comprimé,252
Aspirine 500mg,8615,07/2027,Comprimé,408
Loperamide 750mg,1991,04/2026,Aérosol,408
Efferalgan 100mg,8034,06/2026,Comprimé,152
Ceftriaxone 100mg,2442,11/2026,Capsule,487
Smecta 750mg,4710,10/2025,Sachet,43
Smecta 250mg,1223,01/2026,Injection,340
Amoxicilline 500mg,4054,10/2027,Sachet,281
Ceftriaxone 250mg,1918,12/2026,Sachet,491
Augmentin 250mg,6544,10/2026,Sirop,322
Ibuprofène 100mg,8170,12/2026,Aérosol,319
Ibuprofène 500mg,8375,09/2027,Sachet,190
Prednisolone 250mg,7148,10/2027,Aérosol,201
Paracétamol 250mg,5492,05/2028,Sirop,470
Flagyl 500mg,4836,10/2027,Aérosol,93
Efferalgan 250mg,7001,09/2027,Injection,181
Coartem 750mg,1654,03/2026,Sirop,460
Chloroquine 1000mg,6838,10/2026,Sirop,499
Ibuprofène 250mg,8471,11/2026,Injection,342
Prednisolone 1000mg,6720,01/2027,Sirop,282
Coartem 750mg,9638,07/2026,Gélule,355
Hydroxychloroquine 750mg,4946,07/2027,Injection,163
Loperamide 250mg,3694,09/2027,Aérosol,139
Ceftriaxone 1000mg,2356,05/2028,Gélule,36
Smecta 750mg,7775,03/2028,Sirop,488
Doxycycline 100mg,4794,07/2027,Injection,61
Efferalgan 250mg,4013,09/2026,Aérosol,301
Ventoline 100mg,8903,01/2028,Injection,481
Loperamide 100mg,9067,03/2028,Comprimé,428
Diclofénac 1000mg,2738,05/2027,Comprimé,457
Ceftriaxone 250mg,4979,11/2027,Aérosol,307
Doliprane 750mg,1453,11/2025,Gélule,394
Hydroxychloroquine 250mg,9407,09/2027,Aérosol,437
Diclofénac 750mg,2719,08/2027,Capsule,135
Doxycycline 500mg,8924,11/2025,Aérosol,26
Aspirine 500mg,1390,09/2027,Capsule,493
Zithromax 250mg,3185,05/2027,Gélule,475
Coartem 1000mg,7210,01/2026,Gélule,223
Hydroxychloroquine 100mg,1818,09/2026,Comprimé,421
Chloroquine 750mg,2778,10/2026,Aérosol,90
Oméprazole 100mg,4029,10/2027,Aérosol,363
Ceftriaxone 100mg,8230,03/2028,Sachet,498
Hydroxychloroquine 750mg,4526,10/2025,Gélule,375
Hydroxychloroquine 250mg,5608,05/2026,Sirop,129
Smecta 500mg,8397,12/2025,Gélule,441
Coartem 100mg,1126,07/2027,Comprimé,489
Doxycycline 1000mg,7070,05/2026,Sachet,161
Doxycycline 100mg,6417,04/2027,Aérosol,35
Ventoline 1000mg,8261,03/2027,Aérosol,445
Metformine 1000mg,9228,03/2028,Sirop,99
